  5bnl|A|2015-12-25|K|+3.1;
  4yvk|A|2015-12-25|K|+3.1;
  4yvj|A|2015-12-25|K|+3.1;
  4yvi|A|2015-12-25|K|+3.1;
  4yvh|A|2015-12-25|K|+3.1;
  4yvg|A|2015-12-25|K|+3.1;
  4wkk|A|2015-12-23|K|4.1;
  4xbo|A|2015-12-23|K|+3.1;
  5e4r|A|2015-12-23|K|+3.1, 4.1;
  4rh2|A|2015-11-11|K|+3.1;
  5fl6|A|2015-11-11|K|+3.1;
  5fl5|A|2015-11-11|K|+3.1;
  5fl4|A|2015-11-11|K|+3.1;
  5clu|A|2015-11-11|K|+3.1;
  5a25|A|2015-11-11|K|+3.1;
  4x3m|A|2015-11-11|K|+3.1;
  4yqd|A|2015-11-11|K|+3.1;
  4xpb|A|2015-11-11|S|+3.1, 4.1, +3.1;
  4xpa|A|2015-11-11|S|+3.1, 4.1, +3.1;
  4xp6|A|2015-11-11|S|+3.1, 4.1, +3.1;
  4xnx|A|2015-11-11|S|+3.1, 4.1, +3.1;
  4xnu|A|2015-11-11|S|+3.1, 4.1, +3.1;
  5e2r|A|2015-11-04|K|+3.1;
  5cjf|A|2015-11-04|K|+3.1;
  4yzf|A|2015-11-04|S|+3.1, 3.1, 3.1;
  4zx1|A|2015-10-29|K|+3.1;
  4zx0|A|2015-10-29|K|+3.1;
  4zwx|A|2015-10-29|K|+3.1;
  5da0|A|2015-10-25|S|+3.1, +3.1, +3.1, +3.1;
  5a42|A|2015-10-22|S|-3.1, -3.1;
  5c50|B|2015-10-15|S|+3.1;
  4zao|A|2015-10-14|K|+3.1;
  4wl4|A|2015-10-14|K|+3.1;
  4ywp|A|2015-10-14|K|+3.1;
  4zg6|A|2015-10-14|S|-3.1;
  4zg7|A|2015-10-14|S|+3.1;
  4z1e|A|2015-08-26|K|+3.1;
  4z0q|A|2015-08-26|K|+3.1;
  4z1j|A|2015-08-26|K|+3.1;
  4zwi|A|2015-08-26|K|+3.1;
  4z1k|A|2015-08-26|K|+3.1;
  4z1n|A|2015-08-26|K|+3.1;
  5byi|A|2015-08-08|K|+3.1;
  4zwz|A|2015-08-08|K|+3.1;
  4zwy|A|2015-08-08|K|+3.1;
  4xfw|A|2015-08-08|K|+3.1;
  5bu6|A|2015-07-30|K|+3.1;
  4zyp|A|2015-07-29|S|+3.1;
  4xz5|A|2015-07-29|K|+3.1;
  4r6l|A|2015-07-22|K|4.1, 4.1;
  5brw|A|2015-06-18|K|+3.1;
  4pxx|A|2015-06-10|K|+3.1;
  4x5s|A|2015-05-21|K|+3.1;
  4y5f|A|2015-05-21|K|4.1;
  4y3i|A|2015-05-21|K|4.1;
  4cxs|A|2015-05-13|S|+3.1;
  4xpf|A|2015-05-07|S|+3.1, 4.1;
  4xpg|A|2015-05-07|S|+3.1, 4.1;
  4xph|A|2015-05-07|S|+3.1, 4.1;
  4xpt|A|2015-05-07|S|+3.1, 4.1;
  4xp9|C|2015-05-07|S|+3.1, 4.1;
  4xp5|A|2015-05-07|S|+3.1, 4.1;
  4xp4|A|2015-05-07|S|+3.1, 4.1;
  4xp1|A|2015-05-07|S|+3.1, 4.1;
  4qax|A|2015-05-06|S|+3.1;
  4yr1|A|2015-04-29|S|+3.1;
  4cys|A|2015-04-29|S|+3.1;
  4cyr|A|2015-04-29|S|+3.1;
  4y0j|A|2015-04-27|K|+3.1;
  4ruz|A|2015-04-22|K|+3.1;
  4ruy|A|2015-04-22|K|+3.1;
  4rux|A|2015-04-22|K|+3.1;
  4cxk|A|2015-04-22|S|+3.1;
  4cxu|A|2015-04-22|S|+3.1;
  4rfd|A|2015-04-15|K|+3.1;
  4rfc|A|2015-04-15|K|+3.1;
  4qtl|A|2015-04-15|K|+3.1;
  4qjo|A|2015-04-15|K|+3.1;
  4qjp|A|2015-04-15|K|+3.1;
  4qjw|A|2015-04-15|K|+3.1;
  4qjx|A|2015-04-15|K|+3.1;
  4qjm|A|2015-04-15|K|+3.1;
  4qj0|A|2015-04-15|K|+3.1;
  4qiz|A|2015-04-15|K|+3.1;
  4qiy|A|2015-04-15|K|+3.1;
  5aml|A|2015-04-08|K|+3.1;
  5amg|A|2015-04-08|K|+3.1;
  5amd|A|2015-04-08|K|+3.1;
  4twm|A|2015-04-01|K|+3.1;
  4twl|A|2015-04-01|K|+3.1;
  1i91|A|2015-03-24|K|+3.1;
  4xe1|A|2015-03-18|K|+3.1;
  4q78|A|2015-03-18|K|+3.1;
  4q83|A|2015-03-11|K|+3.1;
  4q81|A|2015-03-11|K|+3.1;
  4q9y|A|2015-03-11|K|+3.1;
  4q99|A|2015-03-11|K|+3.1;
  4q8z|A|2015-03-11|K|+3.1;
  4q90|A|2015-03-11|K|+3.1;
  4q8y|A|2015-03-11|K|+3.1;
  4q8x|A|2015-03-11|K|+3.1;
  4q7w|A|2015-03-11|K|+3.1;
  4q7v|A|2015-03-11|K|+3.1;
